-er	-ista
-ever	querque
-ful	terminacão do adjetivo
-ism	-ismo
-ist	-ista
-ity	-dade
-ness	-dade
-or	-ista
-ship	-dade
a	/ə/\n\n[art]\n\n1. primeira letra do alfabeto\n2. a. um\n  b. uma
a few	/əfjuː/\n\n1. alguns\n2. certo número de\n3. vários
a little	/əlitl/\n\n1. um pouco\n2. um tanto
a lot of	/əlɔtɔf/\n\n1. muito\n2. um grande número de
a.m.	/əmoumənt/\n\ndemanhã
Aaron	/ɑːærən/\n\n[s]\nAarão
abacus	/æbəkəs/\n\n[s]\nábaco
abandon	/əbændən/\n\n[vt]\n\n1. abandonar\n2. desamparar\n3. a. abrir mão de\n  b. renunciar\n  c. resignar
abandoned	[adjective]\nabandonado
abandonment	/əbændənmənt/\n\n[s]\n\n1. abandono\n2. a. abdicação\n  b. cessão\n  c. submissão\n3. a. naturalidade\n  b. simplicidade
abash	/əbæʃ/\n\n1. embaraçar\n2. envergonhar\n3. estorvar
abashed	/əbæʃt/\n\n1. acanhado\n2. vergonhoso
abashment	/əbæʃmənt/\n\n[s]\n\n1. aperto\n2. embaraço\n3. estorvo\n4. óbice\n5. perplexidade
abate	[vt]\n\n1. abater\n2. diminuir\n3. enfraquecer
abated	1. abatido\n2. diminuído\n3. enfraquecido
abatement	/əbeitmənt/\n\n[s]\n\n1. abatimento\n2. desconto
abbacy	/æbəsiː/\n\n[s]\nabadia
abbatial	/əbəʃl/\n\nabacial
abbess	/æbes/\n\n[s]\nabadessa
abbey	/əbei/\n\n[s]\nabadia
abbot	/æbət/\n\n[s]\nabade
abbotcy	/æbətsiː/\n\n[s]\nabadia
abbotship	/æbətʃip/\n\n[s]\nabadia
abbreviate	[vt]\nabreviar
abbreviated	abreviado
abbreviation	/əbriːvieiʃən/\n\n[s]\nabreviação
abbreviator	[s]\nabreviador
ABC	/eibiːsiː/\n\n[s]\n\n1. abc\n2. alfabeto
ABC book	/eibiːsiːbuk/\n\n[s]\ncartilha de abc
abdicable	[adjective]\n\n1. abdicável\n2. renunciável
abdicate	/æbdikeit/\n\n1. abdicar\n2. demitir-se\n3. desistir
abdication	/æbdikeiʃən/\n\n[s]\n\n1. abdicação\n2. demissão
abdomen	/æbdəmən/\n\n[s]\n\n1. abdome\n2. barriga\n3. ventre
abdominal	/æbdɔminl/\n\n[adjective]\n\n1. abdominal\n2. relativo ao abdome
abduct	[s]\n[vt]\n\n1. seqüestro\n2. seqüestrar
abductor	/æbdʌktər/\n\n[s]\nabdutor
aberrant	[adjective]\naberrante
aberration	/æbəreiʃən/\n\n[s]\n\n1. aberração\n2. a. defeito\n  b. erro
abet	/əbet/\n\n[vt]\n\n1. a. agitar\n  b. amotinar\n  c. sacolejar\n  d. sacudir\n2. a. ajudar\n  b. assistir\n3. a. concitar\n  b. incitar\n  c. provocar\n4. a. amparar\n  b. sustenar\n  c. suportar
abhor	/əbhɔːr/\n\n[vt]\n\n1. abominar\n2. detestar\n3. ter nojo de
abhorrence	/əbhɔrəns/\n\n[s]\n\n1. abominação\n2. asco\n3. horror\n4. repulsão
abhorrent	/əbhɔrənt/\n\n[adjective]\n\n1. a. abominável\n  b. repugnante\n2. nauseante
abide	/əbaid/\n\n[vt]\n\n1. a. aguardar\n  b. esperar\n  c. estar à espera de\n2. a. aguentar\n  b. agüentar\n  c. suportar\n  d. tolerar\n3. a. insistir\n  b. perseverar\n  c. persistir\n4. a. padecer\n  b. sofrer
abiding	/əbaidiŋ/\n\nduradouro
ability	/əbilitiː/\n\n[s]\n\n1. a. habilidade\n  b. capacidade\n  c. faculdade\n  d. poder\n2. habilitação
abiogenesis	/əbaiədʒiːnəsis/\n\n[s]\n\n1. abiogenêse\n2. abiogenesia
abject	/æbdʒekt/\n\n[adjective]\n\n1. desprezível\n2. miserável
abjure	/æbdʒeər/\n\n[vt]\n\n1. renunciar\n2. a. anular\n  b. declarar sem efeito\n  c. revogar
ablative	/æblətiv/\n\n[adjective]\nablativo
ablaze	/əbleiz/\n\n[adjective]\nardente
able	/eibl/\n\n[adjective]\n\n1. a. apto\n  b. hábil\n  c. capaz\n2. a. autorizado\n  b. competente\n  c. habilitado
ably	[adverb]\nhabilmente
abnegate	/æbnigeit/\n\n[vt]\n\n1. abnegar\n2. renunciar
abnegation	/æbnigeiʃən/\n\n[s]\n\n1. abnegação\n2. desprendimento
abnormal	/æbnɔːml/\n\n[adjective]\n\n1. anômalo\n2. anormal
abnormality	[s]\nanormalidade
abnormally	[adverb]\nanormalmente
abnormity	/æbnɔːmitiː/\n\n[s]\nanomalia
aboard	a bordo
abode	/əboud/\n\n[s]\n\n1. domicílio\n2. a. aposento\n  b. habitação\n  c. morada
abolish	/əbɔliʃ/\n\n[vt]\n\n1. a. abolir\n  b. anular\n2. a. declarar sem efeito\n  b. revogar
abolition	/æbəliʃən/\n\n[s]\nabolição
abominable	/əbɔminəbl/\n\n[adjective]\n\n1. a. abominável\n  b. repugnante\n2. nauseante
abominate	/əbɔmineit/\n\n[vt]\n\n1. abominar\n2. detestar\n3. ter nojo de
abomination	/əbɔmineiʃən/\n\n[s]\n\n1. a. abominação\n  b. asco\n  c. horror\n  d. repulsão\n2. algo repugnante
aboriginal	/æbəridʒənl/\n\n[adjective]\n\n1. aborígene\n2. indígena\n3. nativo
abort	/əbɔːt/\n\n[vt]\n\n1. a. abortar\n  b. fazer abortar\n2. a. fracassar\n  b. malograr-se\n  c. ter mau êxito
aborted	1. abortado\n2. cancelado
abortion	/əbɔːʃən/\n\n[s]\n\n1. abortamento\n2. a. fiasco\n  b. malogro
abortive	/əbɔːtiv/\n\n1. estéril\n2. inútil\n3. vão
abound	/əbaund/\n\n1. abundar\n2. a. enxamear\n  b. formigar\n  c. pulular
about	/əbaut/\n\n[preposition]\n[adverb]\n\n1. a. sobre\n  b. acerca de\n  c. a respeito de\n  d. quanto a\n2. a. mais ou menos\n  b. aproximadamente\n  c. cerca de
about-face	mudança
above	/əbouv/\n\n[adverb]\n\n1. sobre\n2. acima\n3. acima de\n4. para cima
above all	/əbouvl/\n\n1. em especial\n2. principalmente\n3. sobretudo
above-board	1. honesto\n2. a. franco\n  b. sincero
abracadabra	/æbrəkədæbrə/\n\nabracadabra
Abraham	/æbrəhæm/\n\n[s]\nAbraão
abridge	/əbridʒ/\n\n[vt]\n\n1. resumir\n2. demarcar\n3. limitar\n4. restringir
abridgement	/əbridʒmənt/\n\n[s]\n\n1. resumo\n2. sumário
abroad	/əbrɔːd/\n\n1. ao estrangeiro\n2. a. fora\n  b. de fora\n3. exterior
abrogate	/æbrəgeit/\n\n1. a. abolir\n  b. anular\n2. a. declarar sem efeito\n  b. revogar
abrogation	/æbrəgeiʃən/\n\n[s]\n\n1. abolição\n2. ab-rogação
abrupt	/əbrʌpt/\n\n[adjective]\n\n1. a. abrupto\n  b. brusco\n  c. repentino\n  d. súbito\n2. a. chocante\n  b. rude\n3. a. escarpado\n  b. íngreme\n4. a. inesperado\n  b. inopinado
abruptly	[adverb]\n\n1. abruptamente\n2. repentinamente
abscess	/æbses/\n\n[s]\n\n1. abscesso\n2. apostema
abscissa	/əbʃisə/\n\n[s]\nabscissa
absence	/æbsəns/\n\n[s]\n\n1. a. ausência\n  b. falta\n2. a. carência\n  b. falha
absence of mind	/æbsənsɔfmaind/\n\ndistracção
absent	/æbsənt/\n\n[adjective]\nausente
absent onself	/æbsəntwʌnself/\n\n1. afastar-se\n2. ausentar-se\n3. partir\n4. retirar-se
absent-minded	[adjective]\ndesatento
absentee	[s]\n\n1. ausente\n2. quem está ausente
absinth	/æbsinθ/\n\n[s]\n\n1. licor verde preparado do absíntio\n2. a. absíntio\n  b. losna\n3. a. artemijem\n  b. artemísia\n  c. erva-de-são-joão
absolute	/æbsəluːt/\n\n[adjective]\n\n1. absoluto\n2. completo
absolute power	/æbsəluːtpauər/\n\n[s]\n\n1. poder absoluto\n2. autocracia
absolute rule	/æbsəluːtruːl/\n\nautocracia
absolute ruler	/æbsəluːtruːlər/\n\n[s]\nautócrata
absolutely	/æbsəluːtəliː/\n\n[adverb]\n\n1. absolutamente\n2. a. com efeito\n  b. de fato\n  c. efetivamente\n3. a. impreterivelmente\n  b. infalivelmente\n  c. sem falta
absolution	/æbsəluːʃən/\n\n[s]\n\n1. absolvição\n2. perdão
absolutism	/æbsəluːtizəm/\n\n[s]\nabsolutismo
absolve	/əbzɔlv/\n\n[vt]\nabsolver
absorb	/əbsɔːb/\n\n[vt]\n\n1. a. absorver\n  b. sorver\n2. empolgar\n3. a. dispor de\n  b. ter à disposição
